cash,KO,date
0.23882177,0.76117826,2023-07-17
0.1986342,0.8013658,2023-07-18
0.13412313,0.86587685,2023-07-19
0.27194822,0.7280518,2023-07-20
0.22697745,0.77302253,2023-07-21
0.13422707,0.86577296,2023-07-24
0.15626405,0.84373593,2023-07-25
0.14356779,0.8564322,2023-07-26
0.2392063,0.7607937,2023-07-27
0.08348472,0.9165153,2023-07-28
0.111616336,0.8883837,2023-07-31
0.071023405,0.9289766,2023-08-01
0.087678164,0.9123218,2023-08-02
0.11576203,0.88423795,2023-08-03
0.09258202,0.90741795,2023-08-04
0.052702375,0.94729763,2023-08-07
0.15237142,0.8476286,2023-08-08
0.086980365,0.91301966,2023-08-09
0.086662896,0.9133371,2023-08-10
0.06770864,0.9322913,2023-08-11
0.1138066,0.8861934,2023-08-14
0.083497025,0.91650295,2023-08-15
0.08558748,0.9144125,2023-08-16
0.083715364,0.9162846,2023-08-17
0.06702269,0.9329773,2023-08-18
0.10841801,0.891582,2023-08-21
0.07449491,0.9255051,2023-08-22
0.060014725,0.9399853,2023-08-23
0.10474464,0.8952553,2023-08-24
0.08352329,0.9164767,2023-08-25
0.08876014,0.91123986,2023-08-28
0.11198843,0.8880116,2023-08-29
0.08993622,0.9100638,2023-08-30
0.07648714,0.9235129,2023-08-31
0.05899003,0.94100994,2023-09-01
0.05442881,0.9455712,2023-09-05
0.05324651,0.9467535,2023-09-06
0.067327306,0.9326727,2023-09-07
0.05594886,0.94405115,2023-09-08
0.06541984,0.93458015,2023-09-11
0.12804769,0.8719523,2023-09-12
0.053371154,0.94662887,2023-09-13
0.082322575,0.9176774,2023-09-14
0.11299173,0.88700825,2023-09-15
0.07440444,0.9255956,2023-09-18
0.12826146,0.87173855,2023-09-19
0.09132646,0.9086735,2023-09-20
0.12414423,0.87585574,2023-09-21
0.057284787,0.9427152,2023-09-22
0.08764688,0.9123531,2023-09-25
0.08753926,0.91246074,2023-09-26
0.07203048,0.9279695,2023-09-27
0.06786539,0.9321346,2023-09-28
0.06918421,0.9308158,2023-09-29
0.083368,0.916632,2023-10-02
0.06455831,0.9354417,2023-10-03
0.052801415,0.94719857,2023-10-04
0.09026506,0.90973496,2023-10-05
0.45029587,0.54970413,2023-10-06
0.29480582,0.7051942,2023-10-09
0.116907485,0.8830925,2023-10-10
0.15417518,0.84582484,2023-10-11
0.13058625,0.86941373,2023-10-12
0.4819704,0.5180296,2023-10-13
0.430652,0.56934804,2023-10-16
0.67654216,0.32345784,2023-10-17
0.6652464,0.33475357,2023-10-18
0.58959454,0.41040546,2023-10-19
0.53575385,0.46424615,2023-10-20
0.54139376,0.45860624,2023-10-23
0.28861108,0.7113889,2023-10-24
0.3407222,0.6592778,2023-10-25
0.4620454,0.53795457,2023-10-26
0.26406455,0.73593545,2023-10-27
0.1852636,0.8147364,2023-10-30
0.333348,0.666652,2023-10-31
0.16414467,0.83585536,2023-11-01
0.11763734,0.88236266,2023-11-02
0.21003735,0.78996265,2023-11-03
0.12007096,0.87992907,2023-11-06
0.15719762,0.84280235,2023-11-07
0.17781712,0.8221829,2023-11-08
0.10519845,0.89480156,2023-11-09
0.083624385,0.91637564,2023-11-10
0.12701258,0.87298745,2023-11-13
0.115680054,0.88431996,2023-11-14
0.10036828,0.89963174,2023-11-15
0.10602622,0.89397377,2023-11-16
0.0911781,0.9088219,2023-11-17
0.11467748,0.8853225,2023-11-20
0.12060913,0.8793909,2023-11-21
0.102535576,0.89746445,2023-11-22
0.1259915,0.8740085,2023-11-24
0.20403652,0.79596347,2023-11-27
0.10763894,0.89236104,2023-11-28
0.14902285,0.8509771,2023-11-29
0.092676885,0.9073231,2023-11-30
0.11768901,0.882311,2023-12-01
0.09056728,0.9094327,2023-12-04
0.0703216,0.9296784,2023-12-05
0.09583561,0.9041644,2023-12-06
0.080788665,0.9192113,2023-12-07
0.096154064,0.9038459,2023-12-08
0.08013564,0.91986436,2023-12-11
0.10584168,0.8941583,2023-12-12
0.11682401,0.88317597,2023-12-13
0.1565897,0.8434103,2023-12-14
