cash,TSM,date
0.06365922,0.9363408,2023-06-05
0.11509376,0.88490623,2023-06-06
0.21731178,0.7826882,2023-06-07
0.13920254,0.86079746,2023-06-08
0.03775306,0.96224695,2023-06-09
0.618423,0.381577,2023-06-12
0.7071149,0.2928851,2023-06-13
0.58667815,0.41332185,2023-06-14
0.8994472,0.10055281,2023-06-15
0.59923667,0.40076336,2023-06-16
0.30317402,0.696826,2023-06-20
0.2096734,0.7903266,2023-06-21
0.07516763,0.92483234,2023-06-22
0.2104029,0.7895971,2023-06-23
0.029998815,0.97000116,2023-06-26
0.12299595,0.877004,2023-06-27
0.5922374,0.40776262,2023-06-28
0.19437927,0.80562073,2023-06-29
0.062295336,0.9377047,2023-06-30
0.098111436,0.90188855,2023-07-03
0.51252216,0.4874778,2023-07-05
0.090851374,0.90914863,2023-07-06
0.041148867,0.95885116,2023-07-07
0.7727454,0.22725461,2023-07-10
0.10125902,0.898741,2023-07-11
0.18952352,0.8104765,2023-07-12
0.41712162,0.5828784,2023-07-13
0.8087219,0.1912781,2023-07-14
0.65468293,0.34531707,2023-07-17
0.7971229,0.20287712,2023-07-18
0.38598695,0.614013,2023-07-19
0.5168275,0.48317248,2023-07-20
0.115694955,0.88430506,2023-07-21
0.024601534,0.9753985,2023-07-24
0.047464266,0.95253575,2023-07-25
0.04085752,0.9591425,2023-07-26
0.011191895,0.9888081,2023-07-27
0.15591487,0.8440851,2023-07-28
0.21868286,0.7813172,2023-07-31
0.031186353,0.96881366,2023-08-01
0.026925996,0.973074,2023-08-02
0.07501513,0.9249849,2023-08-03
0.08478235,0.91521764,2023-08-04
0.33429095,0.6657091,2023-08-07
0.06813588,0.93186414,2023-08-08
0.043591008,0.956409,2023-08-09
0.22223684,0.7777631,2023-08-10
0.21181136,0.78818864,2023-08-11
0.04784998,0.95215005,2023-08-14
0.19783996,0.80216,2023-08-15
0.09115009,0.9088499,2023-08-16
0.063357696,0.9366423,2023-08-17
0.054890517,0.9451095,2023-08-18
0.1933863,0.8066137,2023-08-21
0.76142883,0.23857117,2023-08-22
0.23658808,0.76341194,2023-08-23
0.37249672,0.6275033,2023-08-24
0.454719,0.545281,2023-08-25
0.73035824,0.26964176,2023-08-28
0.59453315,0.40546682,2023-08-29
0.85467446,0.14532551,2023-08-30
0.40482855,0.59517145,2023-08-31
0.27186805,0.72813195,2023-09-01
0.28848705,0.711513,2023-09-05
0.89923406,0.10076594,2023-09-06
0.16805957,0.8319404,2023-09-07
0.06374708,0.9362529,2023-09-08
0.23193306,0.76806694,2023-09-11
0.066799134,0.9332009,2023-09-12
0.029281002,0.970719,2023-09-13
0.11273033,0.8872697,2023-09-14
0.12525831,0.8747417,2023-09-15
0.15186688,0.8481331,2023-09-18
0.13675612,0.8632439,2023-09-19
0.108379364,0.89162064,2023-09-20
0.13899183,0.86100817,2023-09-21
0.038248748,0.9617512,2023-09-22
0.08640371,0.9135963,2023-09-25
0.13322453,0.86677545,2023-09-26
0.03913419,0.9608658,2023-09-27
0.11472699,0.885273,2023-09-28
0.71458614,0.28541383,2023-09-29
0.18565644,0.8143436,2023-10-02
0.38511372,0.6148863,2023-10-03
0.2904941,0.7095059,2023-10-04
0.5851697,0.41483036,2023-10-05
0.6213942,0.3786058,2023-10-06
0.73609287,0.26390713,2023-10-09
0.29112542,0.7088746,2023-10-10
0.7783563,0.2216437,2023-10-11
0.7823163,0.21768366,2023-10-12
0.69889486,0.30110517,2023-10-13
0.44789493,0.55210507,2023-10-16
0.64414203,0.35585797,2023-10-17
0.95911324,0.04088673,2023-10-18
0.27881104,0.72118896,2023-10-19
0.47619846,0.5238015,2023-10-20
0.5275133,0.47248664,2023-10-23
0.7319865,0.26801348,2023-10-24
0.33349472,0.6665053,2023-10-25
0.2380434,0.7619566,2023-10-26
0.03330111,0.9666989,2023-10-27
0.044676293,0.9553237,2023-10-30
0.036834948,0.96316504,2023-10-31
0.01717754,0.9828225,2023-11-01
0.10326784,0.89673215,2023-11-02
0.24465755,0.7553425,2023-11-03
0.34423935,0.65576065,2023-11-06
0.45437548,0.5456245,2023-11-07
0.5700845,0.4299155,2023-11-08
0.79595846,0.20404156,2023-11-09
0.7659987,0.2340013,2023-11-10
0.75325376,0.24674621,2023-11-13
0.3456911,0.65430886,2023-11-14
0.41014642,0.5898536,2023-11-15
0.76778656,0.23221345,2023-11-16
0.63717365,0.36282635,2023-11-17
0.58807456,0.41192544,2023-11-20
0.44813758,0.5518624,2023-11-21
0.05932455,0.94067544,2023-11-22
0.14769047,0.8523095,2023-11-24
0.08611181,0.9138882,2023-11-27
0.09951346,0.9004865,2023-11-28
0.18566127,0.81433874,2023-11-29
0.43658257,0.56341743,2023-11-30
0.19162352,0.8083765,2023-12-01
0.7335397,0.2664603,2023-12-04
0.3784587,0.62154126,2023-12-05
0.14366144,0.85633856,2023-12-06
0.3127798,0.68722016,2023-12-07
0.6126594,0.38734064,2023-12-08
0.4421711,0.5578289,2023-12-11
0.7620625,0.2379375,2023-12-12
0.9095539,0.090446144,2023-12-13
0.8571664,0.14283356,2023-12-14
